ID,TL,TL_Desc,HS6,HS6_Desc,Sector_Code,Base_Rate,Base_Rate_Alt,Final_Year,TLs_Per_6_Digit,Staging_Basket,TRQ_Quota,TRQ_Note,Tariff_Eliminated,Product_Type,Pending_Data,Ag_ID,PartnerName,ReporterName,StagingBasket,StagingBasketId,Num_MAR_Columns,PartnerStartYear,ReporterStartYear,PartnerAgreementName,ReporterAgreementName,PartnerAgreementApproved,ReporterAgreementApproved,Rule_Text,Link_Text,Link_Url,QuotaName,ProductType,Y2004,Alt_2004,Y2005,Alt_2005,Y2006,Alt_2006,Y2007,Alt_2007,Y2008,Alt_2008,Y2009,Alt_2009,Y2010,Alt_2010,Y2011,Alt_2011,Y2012,Alt_2012,Y2013,Alt_2013,Y2014,Alt_2014,Y2015,Alt_2015,Y2016,Alt_2016,Y2017,Alt_2017,Y2018,Alt_2018,Y2019,Alt_2019,Y2020,Alt_2020,Y2021,Alt_2021,Y2022,Alt_2022,Y2023,Alt_2023,Y2024,Alt_2024,Y2025,Alt_2025,Y2026,Alt_2026,Y2027,Alt_2027,Y2028,Alt_2028,Y2029,Alt_2029,Y2030,Alt_2030,Y2031,Alt_2031,Y2032,Alt_2032,Y2033,Alt_2033,Y2034,Alt_2034,Y2035,Alt_2035,Y2036,Alt_2036,Y2037,Alt_2037,Y2038,Alt_2038,Y2039,Alt_2039,Y2040,Alt_2040,Y2041,Alt_2041
349027,"87169030","Parts of vehicles, not mechanically propelled, castors (o/than castors of heading 8302)","871690","PARTS OF TRAILERS, SEMI-TRAILERS AND OTHER VEHICLES, NOT MECHANICALLY PROPELLED","AUTO","5.7",,"2005",3,6,,,,1,false,,"Australia","United States","Immediate",6,10,"2005",,"Australia","United States",true,,"A change to subheading 8716.90 from any other heading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349028,"87169050","Parts of trailers and semi-trailers and vehicles, not mechanically propelled, nesoi","871690","PARTS OF TRAILERS, SEMI-TRAILERS AND OTHER VEHICLES, NOT MECHANICALLY PROPELLED","AUTO","3.1",,"2005",3,6,,,,1,false,,"Australia","United States","Immediate",6,10,"2005",,"Australia","United States",true,,"A change to subheading 8716.90 from any other heading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349029,"88011000","Gliders and hang gliders","880110","GLIDERS AND HANG GLIDERS","AERO","0",,"2005",1,6,,,,1,false,,"Australia","United States","Immediate",6,10,"2005",,"Australia","United States",true,,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349030,"88011000","Gliders and hang gliders","880110","GLIDERS AND HANG GLIDERS","AERO","0",,"2005",1,6,,,,1,false,,"United States","Australia","Immediate",6,10,,"2005","United States","Australia",,true,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349031,"88019000","Balloons, dirigibles and non-powered aircraft, nesoi","880190","BALLOONS AND DIRIGIBLES; OTHER NON-POWERED AIRCRAFT, NESOI","AERO","0",,"2005",1,6,,,,1,false,,"Australia","United States","Immediate",6,10,"2005",,"Australia","United States",true,,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349032,"88019000","Other","880190","BALLOONS AND DIRIGIBLES; OTHER NON-POWERED AIRCRAFT, NESOI","AERO","0",,"2005",1,6,,,,1,false,,"United States","Australia","Immediate",6,10,,"2005","United States","Australia",,true,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349033,"88021100","Helicopters, with an unladen weight not over 2,000 kg","880211","HELICOPTERS OF AN UNLADEN WEIGHT NOT EXCEEDING 2,000 KG","AERO","0",,"2005",1,6,,,,1,false,,"Australia","United States","Immediate",6,10,"2005",,"Australia","United States",true,,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349034,"88021100","Of an unladen weight not exceeding 2 000 kg","880211","HELICOPTERS OF AN UNLADEN WEIGHT NOT EXCEEDING 2,000 KG","AERO","0",,"2005",1,6,,,,1,false,,"United States","Australia","Immediate",6,10,,"2005","United States","Australia",,true,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349035,"88021200","Helicopters, with an unladen weight over 2,000 kg","880212","HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 2,000 KG","AERO","0",,"2005",1,6,,,,1,false,,"Australia","United States","Immediate",6,10,"2005",,"Australia","United States",true,,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349036,"88021200","Of an unladen weight exceeding 2 000 kg","880212","HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 2,000 KG","AERO","0",,"2005",1,6,,,,1,false,,"United States","Australia","Immediate",6,10,,"2005","United States","Australia",,true,"A change to subheading 8801.10 through 8803.90 from any other subheading.",,,,"Industrial/Textile",,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
